epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.18252284824848175,0.4899574816226959,0.0010000000474974513,1.6313738822937012,0.19072164595127106,0.002705667167901993,0.19203747808933258,0.5367352962493896,1.6062577962875366,0.0,0.0
1,0.19378428161144257,0.497419536113739,0.0010000000474974513,1.610898494720459,0.0,0.0,0.21955503523349762,0.4914020299911499,1.6209352016448975,0.3636363744735718,0.0023419202771037817
2,0.207020103931427,0.4989154040813446,0.0010000000474974513,1.6100468635559082,0.0,0.0,0.22482435405254364,0.5539405345916748,1.5890721082687378,0.2222222238779068,0.0011709601385518909
3,0.19904935359954834,0.4989610016345978,0.0010000000474974513,1.610304594039917,0.0,0.0,0.22775176167488098,0.5501662492752075,1.6007238626480103,0.0,0.0
4,0.19575868546962738,0.4993911683559418,0.0010000000474974513,1.6100260019302368,0.0,0.0,0.31440281867980957,0.5975174903869629,1.596314787864685,0.0,0.0
5,0.20212066173553467,0.5094742774963379,0.0010000000474974513,1.6098322868347168,0.0,0.0,0.2763465940952301,0.6116455793380737,1.5979533195495605,0.0,0.0
6,0.1856672763824463,0.4979301989078522,0.0005000000237487257,1.6096616983413696,0.0,0.0,0.18735362589359283,0.47934916615486145,1.6076213121414185,0.0,0.0
7,0.18742230534553528,0.4798740744590759,0.0005000000237487257,1.6096982955932617,0.0,0.0,0.19320842623710632,0.5220742225646973,1.6067148447036743,0.0,0.0
8,0.1912248581647873,0.49633461236953735,0.0005000000237487257,1.6097056865692139,0.0,0.0,0.16393442451953888,0.5339962244033813,1.597687840461731,0.0,0.0
9,0.18595978617668152,0.4916641116142273,0.0002500000118743628,1.6091586351394653,0.0,0.0,0.2804449796676636,0.5995932221412659,1.5755705833435059,0.0,0.0
10,0.18318098783493042,0.49831700325012207,0.0002500000118743628,1.608415961265564,0.0,0.0,0.266978919506073,0.5996381044387817,1.586456537246704,0.0,0.0
